"F [GHz]","Ldiff [] - $S='8um'","Ldiff [] - $S='11um'","Ldiff [] - $S='12um'","Ldiff [] - $S='14um'","Ldiff [] - $S='16um'","Qdiff [] - $S='8um'","Qdiff [] - $S='11um'","Qdiff [] - $S='12um'","Qdiff [] - $S='14um'","Qdiff [] - $S='16um'"
1.6,4.72454306041954,4.52573477320856,4.45497653732136,4.30334968780519,4.18860177222212,12.3694073437476,13.0029636307348,13.0610062987879,12.9217720914571,13.2854658701493
1.65,4.73411122448816,4.53273418158469,4.46137089785684,4.30866272730487,4.19318854019888,12.5654240558172,13.2211086674533,13.282062838829,13.1422542312328,13.5207560366562
1.7,4.74439907651512,4.54027818027596,4.46827596186661,4.3144358652458,4.19817600287195,12.7565855054332,13.4336213159278,13.4973836839737,13.3571760264402,13.7500514319633
1.75,4.75539961278543,4.54835849474772,4.47568306973865,4.32066006147369,4.20355523261807,12.9428093818739,13.6404668112785,13.7069382228766,13.5665273480487,13.9733495683081
1.8,4.76710750060631,4.55696827532247,4.48358495466278,4.32732760402732,4.20931856639769,13.1240127022958,13.8416097450017,13.9106956816736,13.7702966338741,14.1906478791608
1.85,4.77951899413112,4.56610198424617,4.49197562487552,4.33443198516545,4.21545947417845,13.3001129307032,14.0370147417991,14.1086256997236,13.9684713584665,14.4019438887046
1.9,4.79263185658819,4.57575529518649,4.50085025923613,4.34196779240798,4.22197244444337,13.4710288425886,14.2266469981286,14.3006987868272,14.1610384304542,14.6072353641338
1.95,4.80644528948943,4.58592500421125,4.51020511497041,4.34993061299735,4.22885288468848,13.6366811880258,14.4104727124383,14.4868866884341,14.3479845345827,14.8065204592386
2,4.82095986906873,4.59660895126773,4.52003744643066,4.35831695028721,4.2360970350199,13.7969931948564,14.5884594299395,14.6671626787711,14.5292964305738,14.9997978537588
2.05,4.83617748998094,4.60780595120669,4.53034543377582,4.36712415069154,4.24370189317219,13.951890944989,14.7605763194978,14.8415017969984,14.7049612173221,15.187066890458
2.1,4.85210131615205,4.61951573344676,4.54112812055623,4.37635033996428,4.25166514947076,14.1013036501119,14.9267943962455,15.0098810378902,14.8749665685177,15.368327710283
2.15,4.86873573858233,4.63173888944387,4.55238535927497,4.38599436771339,4.25998513044844,14.2451638477934,15.087086700518,15.1722795058898,15.0393009439781,15.5435813850773
2.2,4.88608633985704,4.64447682720435,4.56411776409191,4.39605575918129,4.268660749995,14.3834075347997,15.2414284414139,15.3286785393712,15.1979537798311,15.7128300468129
2.25,4.90415986509693,4.65773173215696,4.57632666992376,4.40653467344218,4.27769146706954,14.5159742511101,15.3897971115119,15.4790618104082,15.3509156598263,15.8760770121623
