"F [GHz]","Qdiff []","Ldiff []"
4.8,18.0906503924097,4.79428144633303
4.85,18.007501305316,4.82248482964197
4.9,17.9206939906585,4.85135393305077
4.95,17.8302935094545,4.88090712446365
5,17.7363649407359,4.91116353330858
5.05,17.6389733393514,4.94214308775727
5.1,17.5381836953176,4.97386655425222
5.15,17.4340608947251,5.0063555795025
5.2,17.3266696821901,5.03963273512299
5.25,17.2160746248474,5.07372156510695
5.3,17.102340077871,5.10864663633725
5.35,16.9855301515107,5.14443359235981
5.4,16.8657086796251,5.18110921066148
5.45,16.7429391896946,5.21870146371582
5.5,16.6172848742901,5.25723958408357
5.55,16.4888085639763,5.29675413387966
5.6,16.3575727016226,5.33727707894675
5.65,16.2236393180956,5.37884186810587
5.7,16.0870700093056,5.42148351788865
5.75,15.9479259145766,5.46523870319305
5.8,15.8062676963109,5.51014585434537
5.85,15.6621555209161,5.55624526109737
5.9,15.5156490409633,5.60357918413716
5.95,15.366807378544,5.65219197474891
6,15.2156891097937,5.70213020331782
6.05,15.0623522505467,5.75344279744585
6.1,14.9068542430924,5.80618119051993
6.15,14.7492519439964,5.8603994816594
6.2,14.5896016129552,5.91615460806425
6.25,14.4279589026496,5.97350653089107
6.3,14.264378849565,6.03251843590201
6.35,14.0989158657443,6.09325695026372
6.4,13.9316237314409,6.15579237702123
6.45,13.762555588641,6.2201989489372
6.5,13.5917639354198,6.2865551035735
6.55,13.4193006211038,6.35494378170077
6.6,13.2452168422051,6.42545275135777
6.65,13.0695631390985,6.49817496014762
6.7,12.8923893934113,6.57320891865843
6.75,12.713744826095,6.65065911823494
6.8,12.5336779961511,6.7306364867125
6.85,12.3522367999836,6.81325888616072
6.9,12.1694684713468,6.89865165717976
6.95,11.9854195818655,6.98694821485657
7,11.800136042099,7.07829070213127
7.05,11.6136631031228,7.1728307070584
7.1,11.4260453586039,7.27073005128794
7.15,11.2373267473454,7.37216165805357
7.2,11.0475505562753,7.4773105090605
7.25,10.8567594238573,7.58637470093622
7.3,10.6649953439018,7.69956661337072
7.35,10.4722996697539,7.81711420276212
7.4,10.2787131188386,7.93926243713638
7.45,10.0842757775417,8.06627489037134
7.5,9.88902710640793,8.19843551637962
7.55,9.69300594563591,8.33605062695499
7.6,9.49625052085229,8.47945110053857
7.65,9.29879844914698,8.62899485330375
7.7,9.10068674535233,8.78506960879879
7.75,8.90195182854954,8.94809600804945
7.8,8.70262952878626,9.11853110866122
7.85,8.50275509399013,9.29687232924828
7.9,8.30236319706356,9.48366190466479
7.95,8.10148794314477,9.67949192826906
8,7.90016287702227,9.88501007010186
8.05,7.69842099068879,10.1009260747397
8.1,7.49629473102244,10.3280191600749
8.15,7.29381600758282,10.5671464588069
8.2,7.09101620051029,10.8192526684634
8.25,6.88792616851708,11.0853811038024
8.3,6.68457625696002,11.3666863779127
8.35,6.48099630598385,11.6644489755956
8.4,6.27721565872593,11.9800920247644
8.45,6.07326316957218,12.3152006182214
8.5,5.86916721245615,12.6715440879563
8.55,5.66495568919176,13.0511016840454
8.6,5.46065603783151,13.456092154519
8.65,5.25629524104311,13.8890077504794
8.7,5.0518998344959,14.3526531733216
8.75,4.84749591525043,14.8501899051082
8.8,4.64310915014433,15.385186162186
8.85,4.43876478416782,15.961672288735
8.9,4.23448764882262,16.5842005947254
8.95,4.03030217045815,17.2579071564194
9,3.82623237857962,17.9885704456801
9.05,3.62230191412248,18.7826569853752
9.1,3.41853403768794,19.6473360556331
9.15,3.21495163773477,20.5904311846118
9.2,3.01157723872278,21.620251111966
9.25,2.80843300920333,22.745198841569
9.3,2.60554076985278,23.9729794873463
9.35,2.40292200144486,25.3090893753542
9.4,2.20059785275789,26.7540235230182
9.45,1.99858914841355,28.2982063089968
9.5,1.79691639664346,29.912905240014
9.55,1.59559979698031,31.5341727399125
9.6,1.39465924787047,33.035133218756
9.65,1.19411435420501,34.1803953757582
9.7,0.993984434766269,34.5585291652566
9.75,0.794288529587296,33.5057373594477
9.8,0.595045407221581,30.0907129528752
9.85,0.396273571920527,23.3411228121993
9.9,0.197991270716336,12.9226365533921
9.95,0.000216500408176329,0.01461442206753
10,-0.197032985550711,-12.7416485033387
10.05,-0.393739670266864,-22.7894938738782
10.1,-0.589886266723422,-29.1129559478747
10.15,-0.785455711201839,-32.1579827877605
10.2,-0.980431156810154,-32.9304164194264
10.25,-1.17479596711973,-32.3525399352132
10.3,-1.3685337099119,-31.0678237515876
10.35,-1.56162815103627,-29.4692952642005
10.4,-1.75406324838222,-27.7788347484604
10.45,-1.94582314596475,-26.1141341388925
10.5,-2.13689216812669,-24.5330619302598
10.55,-2.32725481385794,-23.0603389202716
10.6,-2.51689575123366,-21.7028708185715
10.65,-2.70579981197232,-20.4583604304667
10.7,-2.89395198611483,-19.3200745384793
10.75,-3.08133741682641,-18.2794441244955
10.8,-3.26794139532169,-17.3274521921842
10.85,-3.45374935591461,-16.4553462189758
10.9,-3.63874687119439,-15.6549767466211
10.95,-3.82291964732776,-14.9189314916555
11,-4.0062535194899,-14.2405601891892
11.05,-4.18873444742358,-13.6139436021829
11.1,-4.37034851112866,-13.0338364919659
11.15,-4.55108190668259,-12.4956009301503
11.2,-4.73092094219233,-11.9951387101304
11.25,-4.90985203387945,-11.5288272981755
11.3,-5.08786170229877,-11.0934613388147
11.35,-5.26493656869165,-10.6862003911848
11.4,-5.44106335147477,-10.3045228592034
11.45,-5.61622886286509,-9.94618572117741
11.5,-5.7904200056421,-9.60918950849735
11.55,-5.96362377004808,-9.29174793828836
11.6,-6.13582723082687,-8.99226161906099
11.65,-6.30701754440244,-8.70929529155215
11.7,-6.47718194619752,-8.44155812207079
11.75,-6.64630774809346,-8.18788662340432
11.8,-6.81438233603154,-7.94722983378136
11.85,-6.98139316775683,-7.71863643516609
11.9,-7.14732777070499,-7.50124353737789
11.95,-7.31217374003288,-7.29426689408042
12,-7.47591873679321,-7.09699235087339
12.05,-7.6385504862543,-6.90876835504819
12.1,-7.80005677636493,-6.72899938159696
12.15,-7.96042545636487,-6.55714015135749
12.2,-8.11964443554258,-6.39269053525548
12.25,-8.27770168213863,-6.23519105394235
12.3,-8.43458522239666,-6.08421889513538
12.35,-8.59028313976191,-5.93938438200323
12.4,-8.74478357422764,-5.80032783531071
12.45,-8.89807472182867,-5.66671678000159
12.5,-9.0501448342841,-5.53824345367661
12.55,-9.2009822187881,-5.41462258020094
12.6,-9.35057523794837,-5.29558937660713
12.65,-9.49891230987398,-5.1808977656762
12.7,-9.64598190841099,-5.07031877019205
12.75,-9.79177256352641,-4.9636390679635
12.8,-9.93627286184017,-4.86065968937326
12.85,-10.079471447305,-4.76119484150821
12.9,-10.2213570220336,-4.66507084490548
12.95,-10.3619183472732,-4.57212517066116
13,-10.501144244526,-4.48220556713086
13.05,-10.6390235968158,-4.39516926673825
13.1,-10.7755453501007,-4.31088226452567
13.15,-10.9106985148288,-4.22921866105501
13.2,-11.0444721676387,-4.15006006311645
13.25,-11.176855453202,-4.0732950364453
