"F [GHz]","Qdiff []","Ldiff []"
5.05,18.1521593040408,4.52327645933388
5.1,18.0791778679056,4.54874958967182
5.15,18.0028024884208,4.57479788046195
5.2,17.9230844454091,4.60143653607308
5.25,17.8400751524846,4.62868136452419
5.3,17.7538261243192,4.6565488057186
5.35,17.6643889449881,4.68505596135404
5.4,17.5718152373974,4.71422062662079
5.45,17.4761566337933,4.74406132380922
5.5,17.3774647473489,4.77459733795748
5.55,17.2757911448257,4.80584875468082
5.6,17.1711873203003,4.83783650033579
5.65,17.0637046699475,4.87058238468465
5.7,16.9533944678711,4.90410914623969
5.75,16.8403078429684,4.93844050048165
5.8,16.7244957568132,4.97360119116315
5.85,16.6060089825457,5.00961704492603
5.9,16.4848980847509,5.04651502948115
5.95,16.3612134003087,5.08432331562078
6,16.2350050201974,5.12307134335763
6.05,16.1063227722337,5.16278989251052
6.1,15.9752162047262,5.20351115808554
6.15,15.8417345710266,5.24526883083303
6.2,15.7059268149534,5.28809818339579
6.25,15.5678415570725,5.33203616250208
6.3,15.4275270818074,5.37712148770002
6.35,15.2850313253638,5.42339475717628
6.4,15.1404018644407,5.47089856125474
6.45,14.9936859057107,5.5196776042279
6.5,14.8449302760463,5.56977883523814
6.55,14.6941814134683,5.62125158899704
6.6,14.5414853587975,5.67414773720969
6.65,14.3868877479856,5.72852185165952
6.7,14.2304338051041,5.78443138000682
6.75,14.0721683359707,5.84193683546406
6.8,13.9121357223898,5.90110200163325
6.85,13.7503799169876,5.96199415392813
6.9,13.5869444386203,6.02468429915686
6.95,13.4218723683349,6.08924743501387
7,13.2552063458613,6.15576283142284
7.05,13.0869885666172,6.22431433589062
7.1,12.9172607792053,6.29499070527762
7.15,12.7460642833827,6.36788596666718
7.2,12.5734399284851,6.44309981032943
7.25,12.3994281122855,6.52073801812994
7.3,12.2240687802707,6.60091293113464
7.35,12.0474014253166,6.68374396061942
7.4,11.8694650877449,6.76935814721088
7.45,11.6902983557452,6.85789077347614
7.5,11.5099393661449,6.94948603595364
7.55,11.3284258055104,7.0442977833874
7.6,11.1457949115652,7.1424903288094
7.65,10.962083474908,7.24423934412661
7.7,10.7773278410163,7.34973284703108
7.75,10.591563912522,7.45917229138964
7.8,10.4048271517426,7.57277377381145
7.85,10.2171525834564,7.69076937087321
7.9,10.0285747979074,7.8134086235428
7.95,9.83912795402681,7.94096018773139
8,9.6488457828591,8.07371367267821
8.05,9.45776159117998,8.21198169210021
8.1,9.2659082652948,8.3561021567997
8.15,9.07331827500608,8.50644084181387
8.2,8.88002367773864,8.66339426632343
8.25,8.68605612281253,8.82739293054885
8.3,8.4914468558523,8.99890496091114
8.35,8.29622672332392,9.17844022300929
8.4,8.1004261771885,9.36655497169066
8.45,7.90407527966492,9.56385711892554
8.5,7.70720370809065,9.77101221364665
8.55,7.50984075987437,9.98875024352971
8.6,7.31201535752972,10.217873387268
8.65,7.113756053784,10.4592648676743
8.7,6.91509103675329,10.7138990813915
8.75,6.71604813517638,10.9828532105777
8.8,6.51665482370133,11.2673205560555
8.85,6.31693822821624,11.5686258703105
8.9,6.11692513121938,11.8882430122833
8.95,5.91664197722084,12.2278152933154
9,5.71611487817042,12.5891789328866
9.05,5.51536961890585,12.9743900897706
9.1,5.31443166261517,13.3857559711458
9.15,5.11332615630849,13.8258705349865
9.2,4.91207793629339,14.2976552651272
9.25,4.71071153364954,14.8044053712282
9.3,4.50925117969713,15.349841474576
9.35,4.30772081145517,15.9381662605536
9.4,4.10614407708433,16.5741244962849
9.45,3.90454434131134,17.2630628607768
9.5,3.70294469082984,18.0109825817056
9.55,3.50136793967408,18.8245718169415
9.6,3.29983663456222,19.7111941312338
9.65,3.09837306020482,20.678790893329
9.7,2.89699924457591,21.735622898255
9.75,2.69573696414285,22.8897191700956
9.8,2.4946077490519,24.1477993200319
9.85,2.2936328882667,25.5132554859159
9.9,2.09283343465657,26.9824605597363
9.95,1.89223021003195,28.5381115053611
10,1.6918438101242,30.1373755000201
10.05,1.49169460950749,31.6911486030617
10.1,1.29180276646,33.0289480276469
10.15,1.09218822776236,33.8434902512773
10.2,0.892870733430916,33.6162644535683
10.25,0.693869821383784,31.5578156566522
10.3,0.495204832037584,26.6805740556435
10.35,0.296894912832886,18.226442089427
10.4,0.0989590226863962,6.51812873817698
