"F [GHz]","Ldiff [] - $R_out='180um'","Ldiff [] - $R_out='190um'","Ldiff [] - $R_out='200um'","Ldiff [] - $R_out='210um'","Ldiff [] - $R_out='213um'","Ldiff [] - $R_out='220um'","Qdiff [] - $R_out='180um'","Qdiff [] - $R_out='190um'","Qdiff [] - $R_out='200um'","Qdiff [] - $R_out='210um'","Qdiff [] - $R_out='213um'","Qdiff [] - $R_out='220um'"
6.7,3.66654418302393,4.42654523757386,5.41560587522366,6.8291439654053,7.29081247893288,8.57410072667527,16.4264375759243,15.5919160079587,14.4751612380035,12.2420663293679,11.8161262327164,10.4898106732898
6.75,3.68939093292643,4.46097173880196,5.47000297241312,6.92392636977894,7.40010929570164,8.73016615988584,16.3380221667713,15.4717702999838,14.3211822728885,12.0553779104462,11.6220736304473,10.2769013263496
6.8,3.71272366219302,4.49623962625859,5.52598359114302,7.02222034522945,7.51370652871954,8.89340383899988,16.2475138832533,15.3495535541913,14.165174930984,11.8668590642107,11.4261904147517,10.0624306018281
6.85,3.73655582472865,4.5323768103207,5.58361256166412,7.12421455708117,7.63185095233894,9.06429992562617,16.1549401665924,15.2253008632928,14.0071809385634,11.6765591492016,11.2285274010834,9.84645374233549
6.9,3.760901399995,4.56941248389336,5.64295834804051,7.23011144009873,7.75480855991349,9.24338518209409,16.0603283865701,15.0990471210473,13.8472417695871,11.4845271684068,11.0291350562381,9.62902549853789
6.95,3.78577491827645,4.60737719582791,5.70409330372325,7.34012846439105,7.88286645064334,9.43124012759511,15.96370583393,14.970827015583,13.685398640221,11.2908117653556,10.8280634945255,9.41020012797195
7,3.81119148743158,4.64630292944433,5.76709394890979,7.45449954222345,8.0163349407009,9.6285009141434,15.8650997131879,14.840675023208,13.5216925037998,11.0954612206698,10.6253624743942,9.19003139427806
7.05,3.83716682123177,4.68622318657388,5.83204127187125,7.57347659416256,8.15554992994833,9.83586603983143,15.7645371358413,14.7086254026992,13.3561640462162,10.8985234490484,10.4210813954861,8.96857256682655
7.1,3.8637172693968,4.72717307757661,5.89902105668141,7.69733129574677,8.30087556057553,10.0541040386679,15.6620451139634,14.5747121900509,13.188853681722,10.7000459966663,10.2152692960983,8.74587642071104
7.15,3.89085984944572,4.76918941783197,5.96812424006597,7.82635702910946,8.45270720990802,10.2840623125818,15.5576505541786,14.4389691936711,13.0198015491244,10.5000760389644,10.00797485103,8.52199523708664
7.2,3.9186122804913,4.8123108312481,6.0394473004124,7.96087106777498,8.61147486663996,10.5266773029442,15.4513802520051,14.3014299900086,12.8490475083627,10.2986603788108,9.79924636979345,8.29698080382701
7.25,3.9469930191163,4.85657786138889,6.11309268234664,8.10121702730043,8.7776469480562,10.7829862374046,15.3432608865567,14.1621279195973,12.6766311374506,10.0958454450141,9.58913179516789,8.07088441647969
7.3,3.97602129748157,4.90203309087617,6.18916926069749,8.24776761967986,8.95173462568597,11.0541407344325,15.2333190155952,14.021096083505,12.5025917297698,9.89167729116761,9.37767870207663,7.84375687949602
7.35,4.00571716382828,4.94872126979004,6.26779284814209,8.40092775561465,9.13429673860293,11.3414226044713,15.1215810709234,13.8783673401701,12.3269682916996,9.68620159480749,9.16493429676624,7.61564850771493
7.4,4.03610152555001,4.99668945386316,6.34908675136417,8.56113804607128,9.32594538765031,11.6462622551709,15.0080733541073,13.7339743026135,12.1497995405698,9.47946365686459,8.95094541627028,7.38660912808053
7.45,4.06719619502581,5.04598715334544,6.43318238117125,8.72887876322215,9.52735232070608,11.9702601912668,14.8928220325227,13.5879493360138,11.9711239029221,9.27150840139323,8.73575852813756,7.15668808157228
7.5,4.09902393842109,5.09666649350602,6.52021992272,8.90467433117038,9.73925623930572,12.3152122001538,14.7758531357125,13.4403245556297,11.7909795130674,9.06238037555939,8.51941973040729,6.92593422532975
7.55,4.13160852768151,5.14878238784027,6.61034907280435,9.08909842912979,9.9624711812257,12.6831389351641,14.6571925520493,13.2911318250589,11.6094042119254,8.85212374987149,8.3019747518137,6.69439593495292
7.6,4.16497479596447,5.20239272516219,6.70372985208555,9.2827798043699,10.1978961628776,13.0763207530654,14.5368660256908,13.1404027548188,11.4264355461347,8.64078231863759,8.08346895220276,6.46212110696028
7.65,4.19914869677455,5.25755857188843,6.80053350120663,9.48640890973553,10.446526300631,13.4973388327911,14.4148991538233,12.9881687012382,11.2421107674201,8.42839950063297,7.8639473231446,6.22915716138749
7.7,4.23415736709275,5.31434439096191,6.90094347095876,9.70074550150383,10.7094656727524,13.9491237995185,14.2913173841799,12.8344607656471,11.0564668322048,8.21501833996394,7.64345448872595,5.99555104451107
7.75,4.27002919481588,5.37281827902145,7.00515651808149,9.92662735846898,10.9879422350408,14.4350132983927,14.1661460128287,12.6793097938516,10.8695404014574,8.00068150711168,7.42203470650672,5.76134923167964
