"F [GHz]","Ldiff [] - $W='15um'","Ldiff [] - $W='17.5um'","Ldiff [] - $W='20um'","Ldiff [] - $W='22.5um'","Ldiff [] - $W='25um'","Ldiff [] - $W='27.5um'","Ldiff [] - $W='30um'","Qdiff [] - $W='15um'","Qdiff [] - $W='17.5um'","Qdiff [] - $W='20um'","Qdiff [] - $W='22.5um'","Qdiff [] - $W='25um'","Qdiff [] - $W='27.5um'","Qdiff [] - $W='30um'"
6.95,21.9453125477502,19.0215674382036,17.0142090856904,17.5238216491266,15.8577869660773,14.6708586129696,13.4516329130429,6.16254375024156,6.9397272287772,7.1238357705479,6.1934720526709,6.55048658866337,6.63769206051516,6.71080910340728
7,22.8282607008228,19.6920749317739,17.5673423514334,18.181082571445,16.4158430437338,15.1717637435326,13.8933428234452,5.8954781607487,6.6732716585134,6.86703583715032,5.93764678975362,6.29564412521757,6.38676820219308,6.46693165444485
7.05,23.790935037492,20.4164956744885,18.1617979640191,18.8939324137193,17.0185653923941,15.7117136008863,14.3683180522056,5.62702622273595,6.40563494096504,6.60932272939797,5.68085283688384,6.03987777761932,6.13489782072734,6.22204097482568
7.1,24.844078009842,21.2013303889567,18.802193967834,19.6693601677804,17.6712842087953,16.2952456117108,14.8802917716905,5.35726553530194,6.13689039219623,6.35076327061566,5.42315752664386,5.78325293609666,5.88214546666922,5.97619938937694
7.15,26.0003288698984,22.0541234089016,19.4938357118187,20.5155033527953,18.380168557366,16.9275937410391,15.4335513420496,5.08627319759185,5.86711056926726,6.09142336520557,5.16462755012094,5.52583429847669,5.62857504954441,5.72946866156407
7.2,27.2746170196128,22.9836673463762,20.2428411906033,21.4418693718016,19.1523847044403,17.614817298662,16.0330378212167,4.81412578467642,5.5963672580262,5.83136799588539,4.9053289483515,5.26768586562032,5.37424983344663,5.48190998884318
7.25,28.6846357333657,24.0002526582039,21.0562922598217,22.4595991167859,19.9962863611601,18.363955543895,16.6844650840874,4.54089932440348,5.32473146185916,5.57066122176604,4.64532710431294,5.00887093734266,5.11923243306454,5.23358399841359
7.3,30.2514013090582,25.1159713601773,21.9424170007976,23.5817757534005,20.9216417239278,19.1832123482976,17.394461953513,4.26666927521174,5.05227339137223,5.30936617723571,4.38468673544532,4.74945210879727,4.86358481012066,4.98455074334896
7.35,31.9998874681368,26.3450845162448,22.9108090630418,24.8237754322854,21.9399008880349,20.0821745935089,18.1707406108265,3.99151050489566,4.77906245497821,5.04754507161587,4.12347188668497,4.48949126730457,4.60736827020101,4.73486969908732
7.4,33.9596876893082,27.7044615285341,23.9726898042187,26.2036422191587,23.064503192664,21.0720657648578,19.022293545091,3.71549727031012,4.50516725036167,4.78525918955661,3.86174592399344,4.22904958960301,4.35064345995582,4.48459976025977
